PERIODO,SEDE,CODIGO_DE_CURSO,HORARIO,FRECUENCIA,AULA,ALUMN
202505,Ica,AP2,17:45 - 19:15,Diario,108,12
202505,Ica,B03RP,17:45 - 19:15,Diario,104,13
202505,Ica,B04RP,17:45 - 19:15,Diario,101,15
202505,Ica,B05RP,17:45 - 19:15,Diario,201,15
202505,Ica,B06RP,17:45 - 19:15,Diario,202,15
202505,Ica,B07RP,17:45 - 19:15,Diario,106,19
202505,Ica,B08RP,17:45 - 19:15,Diario,203,14
202505,Ica,I08,17:45 - 19:15,Diario,102,15
202505,Ica,I09,17:45 - 19:15,Diario,103,17
202505,Ica,AP1,17:45 - 19:15,Diario,107,19
202505,Ica,I11,17:45 - 19:15,Diario,105,24
202505,Ica,B01RP,19:30 - 21:00,Diario,107,19
202505,Ica,B08RP,19:30 - 21:00,Diario,102,15
202505,Ica,I01RP,19:30 - 21:00,Diario,101,15
202505,Ica,B00RP,19:30 - 21:00,Diario,105,24
202505,Miraflores,B00EP,17:45 - 21:00,Interdiario L-M-V,701,24
202505,Lima Centro,B00EP,07:00 - 10:15,Interdiario L-M-V,101,24
202505,Lima Centro,B00EP,16:00 - 19:15,Interdiario L-M-V,101,24
202505,Lima Centro,B00EP,10:30 - 13:45,Interdiario L-M-V,310,16
202505,Miraflores,B00EP,16:00 - 19:15,Interdiario L-M-V,805,19
202505,Miraflores,B00EP,10:30 - 13:45,Interdiario L-M-V,405,15
202505,Surco,B00EP,07:00 - 10:15,Interdiario L-M-V,101,22
202505,Surco,B00EP,10:30 - 13:45,Interdiario L-M-V,408,29
202505,Lima Norte Satélite,B00EP,16:00 - 19:15,Interdiario L-M-V,101,20
202505,Lima Norte Satélite,B00EP,16:00 - 19:15,Interdiario L-M-V,102,20
202505,Lima Norte Satélite,B00EP,07:00 - 10:15,Interdiario L-M-V,301,27
202505,Lima Norte Satélite,B00EP,10:30 - 13:45,Interdiario L-M-V,301,27
202505,La Molina,B00EP,17:45 - 21:00,Interdiario L-M-V,301,20
202505,San Miguel,B00EP,10:30 - 13:45,Interdiario L-M-V,201,20
202505,San Miguel,B00EP,17:45 - 21:00,Interdiario L-M-V,202,19
202505,San Miguel,B00EP,07:00 - 10:15,Interdiario L-M-V,201,20
202505,San Miguel,B00EP,16:00 - 19:15,Interdiario L-M-V,201,20
202505,Surco,B00EP,17:45 - 21:00,Interdiario L-M-V,102,22
202505,Surco,B00EP,16:00 - 19:15,Interdiario L-M-V,101,22
202505,La Molina,B00EP,10:30 - 13:45,Interdiario L-M-V,302,20
202505,La Molina,B00EP,16:00 - 19:15,Interdiario L-M-V,304,23
202505,Lima Centro,B01EP,10:30 - 13:45,Interdiario L-M-V,102,24
202505,Lima Centro,B01EP,17:45 - 21:00,Interdiario L-M-V,201,19
202505,Lima Centro,B01EP,16:00 - 19:15,Interdiario L-M-V,103,24
202505,Lima Centro,B01EP,07:00 - 10:15,Interdiario L-M-V,102,24
202505,Surco,B01EP,10:30 - 13:45,Interdiario L-M-V,104,25
202505,Surco,B01EP,16:00 - 19:15,Interdiario L-M-V,306,25
202505,Miraflores,B01EP,16:00 - 19:15,Interdiario L-M-V,803,22
202505,Miraflores,B01EP,17:45 - 21:00,Interdiario L-M-V,605,19
202505,Miraflores,B01EP,10:30 - 13:45,Interdiario L-M-V,801,24
202505,Surco,B01EP,10:30 - 13:45,Interdiario L-M-V,201,22
202505,Surco,B01EP,12:30 - 15:45,Interdiario L-M-V,202,22
202505,Surco,B01EP,07:00 - 10:15,Interdiario L-M-V,102,22
202505,Surco,B01EP,17:45 - 21:00,Interdiario L-M-V,104,25
202505,Lima Norte Satélite,B01EP,12:30 - 15:45,Interdiario L-M-V,106,20
202505,Lima Norte Satélite,B01EP,10:30 - 13:45,Interdiario L-M-V,105,20
202505,Lima Norte Satélite,B01EP,07:00 - 10:15,Interdiario L-M-V,302,27
202505,Lima Norte Satélite,B01EP,10:30 - 13:45,Interdiario L-M-V,104,20
202505,Lima Norte Satélite,B01EP,16:00 - 19:15,Interdiario L-M-V,103,20
202505,Lima Norte Satélite,B01EP,16:00 - 19:15,Interdiario L-M-V,104,20
202505,La Molina,B01EP,16:00 - 19:15,Interdiario L-M-V,303,22
202505,La Molina,B01EP,17:45 - 21:00,Interdiario L-M-V,201,20
202505,La Molina,B01EP,10:30 - 13:45,Interdiario L-M-V,502,20
202505,La Molina,B01EP,07:00 - 10:15,Interdiario L-M-V,303,22
202505,San Miguel,B01EP,10:30 - 13:45,Interdiario L-M-V,302,19
202505,San Miguel,B01EP,10:30 - 13:45,Interdiario L-M-V,301,20
202505,La Molina,B01EP,16:00 - 19:15,Interdiario L-M-V,302,20
202505,San Miguel,B01EP,17:45 - 21:00,Interdiario L-M-V,302,19
202505,San Miguel,B01EP,07:00 - 10:15,Interdiario L-M-V,202,19
202505,San Miguel,B01EP,16:00 - 19:15,Interdiario L-M-V,301,20
202505,Lima Centro,B02EP,10:30 - 13:45,Interdiario L-M-V,103,24
202505,Lima Centro,B02EP,07:00 - 10:15,Interdiario L-M-V,504,27
202505,Lima Centro,B02EP,16:00 - 19:15,Interdiario L-M-V,203,23
202505,Lima Centro,B02EP,16:00 - 19:15,Interdiario L-M-V,202,19
202505,Lima Centro,B02EP,17:45 - 21:00,Interdiario L-M-V,204,18
202505,Surco,B02EP,07:00 - 10:15,Interdiario L-M-V,103,22
202505,Surco,B02EP,10:30 - 13:45,Interdiario L-M-V,316,29
202505,Surco,B02EP,16:00 - 19:15,Interdiario L-M-V,511,29
202505,Miraflores,B02EP,16:00 - 19:15,Interdiario L-M-V,806,22
202505,Miraflores,B02EP,10:30 - 13:45,Interdiario L-M-V,401,15
202505,Lima Norte Satélite,B02EP,10:30 - 13:45,Interdiario L-M-V,201,20
202505,Lima Norte Satélite,B02EP,10:30 - 13:45,Interdiario L-M-V,202,20
202505,Lima Norte Satélite,B02EP,16:00 - 19:15,Interdiario L-M-V,105,20
202505,Lima Norte Satélite,B02EP,07:00 - 10:15,Interdiario L-M-V,103,20
202505,Lima Norte Satélite,B02EP,16:00 - 19:15,Interdiario L-M-V,106,20
202505,Lima Norte Satélite,B02EP,12:30 - 15:45,Interdiario L-M-V,203,20
202505,San Miguel,B02EP,10:30 - 13:45,Interdiario L-M-V,401,19
202505,San Miguel,B02EP,16:00 - 19:15,Interdiario L-M-V,303,20
202505,San Miguel,B02EP,10:30 - 13:45,Interdiario L-M-V,303,20
202505,San Miguel,B02EP,16:00 - 19:15,Interdiario L-M-V,401,19
202505,San Miguel,B02EP,07:00 - 10:15,Interdiario L-M-V,301,20
202505,San Miguel,B02EP,17:45 - 21:00,Interdiario L-M-V,402,20
202505,La Molina,B02EP,16:00 - 19:15,Interdiario L-M-V,306,22
202505,La Molina,B02EP,17:45 - 21:00,Interdiario L-M-V,307,20
202505,La Molina,B02EP,07:00 - 10:15,Interdiario L-M-V,202,20
202505,La Molina,B02EP,16:00 - 19:15,Interdiario L-M-V,305,21
202505,La Molina,B02EP,10:30 - 13:45,Interdiario L-M-V,301,20
202505,Surco,B02EP,17:45 - 21:00,Interdiario L-M-V,202,22
202505,Lima Centro,B03EP,16:00 - 19:15,Interdiario L-M-V,704,25
202505,Lima Centro,B03EP,17:45 - 21:00,Interdiario L-M-V,307,24
202505,Lima Centro,B03EP,16:00 - 19:15,Interdiario L-M-V,306,20
202505,Lima Centro,B03EP,10:30 - 13:45,Interdiario L-M-V,201,19
202505,Lima Centro,B03EP,07:00 - 10:15,Interdiario L-M-V,201,19
202505,Miraflores,B03EP,10:30 - 13:45,Interdiario L-M-V,411,22
202505,Miraflores,B03EP,16:00 - 19:15,Interdiario L-M-V,804,23
202505,Surco,B03EP,16:00 - 19:15,Interdiario L-M-V,410,29
202505,Surco,B03EP,17:45 - 21:00,Interdiario L-M-V,205,25
202505,Surco,B03EP,10:30 - 13:45,Interdiario L-M-V,205,25
202505,Surco,B03EP,07:00 - 10:15,Interdiario L-M-V,104,25
202505,Surco,B03EP,16:00 - 19:15,Interdiario L-M-V,312,24
202505,Lima Norte Satélite,B03EP,07:00 - 10:15,Interdiario L-M-V,104,20
202505,Lima Norte Satélite,B03EP,16:00 - 19:15,Interdiario L-M-V,202,20
202505,Lima Norte Satélite,B03EP,16:00 - 19:15,Interdiario L-M-V,201,20
202505,Lima Norte Satélite,B03EP,12:30 - 15:45,Interdiario L-M-V,205,20
202505,Lima Norte Satélite,B03EP,10:30 - 13:45,Interdiario L-M-V,204,20
202505,La Molina,B03EP,16:00 - 19:15,Interdiario L-M-V,S303,21
202505,La Molina,B03EP,07:00 - 10:15,Interdiario L-M-V,302,20
202505,La Molina,B03EP,17:45 - 21:00,Interdiario L-M-V,310,19
202505,La Molina,B03EP,16:00 - 19:15,Interdiario L-M-V,503,22
202505,San Miguel,B03EP,07:00 - 10:15,Interdiario L-M-V,302,19
202505,San Miguel,B03EP,10:30 - 13:45,Interdiario L-M-V,402,20
202505,San Miguel,B03EP,16:00 - 19:15,Interdiario L-M-V,404,18
202505,La Molina,B03EP,10:30 - 13:45,Interdiario L-M-V,508,27
202505,San Miguel,B03EP,16:00 - 19:15,Interdiario L-M-V,403,19
202505,San Miguel,B03EP,17:45 - 21:00,Interdiario L-M-V,405,20
202505,Lima Centro,B04EP,10:30 - 13:45,Interdiario L-M-V,202,19
202505,Lima Centro,B04EP,07:00 - 10:15,Interdiario L-M-V,202,19
202505,Lima Centro,B04EP,16:00 - 19:15,Interdiario L-M-V,308,19
202505,Lima Centro,B04EP,16:00 - 19:15,Interdiario L-M-V,703,24
202505,Lima Centro,B04EP,17:45 - 21:00,Interdiario L-M-V,407,20
202505,Surco,B04EP,16:00 - 19:15,Interdiario L-M-V,207,23
202505,Surco,B04EP,10:30 - 13:45,Interdiario L-M-V,206,25
202505,Surco,B04EP,17:45 - 21:00,Interdiario L-M-V,208,24
202505,Surco,B04EP,16:00 - 19:15,Interdiario L-M-V,206,25
202505,Miraflores,B04EP,07:00 - 10:15,Interdiario L-M-V,412,18
202505,Miraflores,B04EP,16:00 - 19:15,Interdiario L-M-V,409,23
202505,Miraflores,B04EP,17:45 - 21:00,Interdiario L-M-V,801,24
202505,Miraflores,B04EP,10:30 - 13:45,Interdiario L-M-V,412,18
202505,Lima Norte Satélite,B04EP,07:00 - 10:15,Interdiario L-M-V,314,26
202505,Lima Norte Satélite,B04EP,16:00 - 19:15,Interdiario L-M-V,203,20
202505,Lima Norte Satélite,B04EP,12:30 - 15:45,Interdiario L-M-V,207,20
202505,Lima Norte Satélite,B04EP,16:00 - 19:15,Interdiario L-M-V,409,30
202505,Lima Norte Satélite,B04EP,16:00 - 19:15,Interdiario L-M-V,303,25
202505,Lima Norte Satélite,B04EP,10:30 - 13:45,Interdiario L-M-V,206,20
202505,Lima Norte Satélite,B04EP,17:45 - 21:00,Interdiario L-M-V,206,20
202505,San Miguel,B04EP,16:00 - 19:15,Interdiario L-M-V,407,19
202505,San Miguel,B04EP,17:45 - 21:00,Interdiario L-M-V,408,20
202505,San Miguel,B04EP,16:00 - 19:15,Interdiario L-M-V,406,19
202505,La Molina,B04EP,16:00 - 19:15,Interdiario L-M-V,308,22
202505,San Miguel,B04EP,10:30 - 13:45,Interdiario L-M-V,403,19
202505,San Miguel,B04EP,07:00 - 10:15,Interdiario L-M-V,303,20
202505,La Molina,B04EP,10:30 - 13:45,Interdiario L-M-V,303,22
202505,La Molina,B04EP,16:00 - 19:15,Interdiario L-M-V,312,20
202505,La Molina,B04EP,17:45 - 21:00,Interdiario L-M-V,313,19
202505,Lima Centro,B05EP,16:00 - 19:15,Interdiario L-M-V,408,16
202505,Miraflores,B05EP,10:30 - 13:45,Interdiario L-M-V,301,15
202505,Miraflores,B05EP,16:00 - 19:15,Interdiario L-M-V,808,18
202505,Surco,B05EP,16:00 - 19:15,Interdiario L-M-V,209,23
202505,Surco,B05EP,10:30 - 13:45,Interdiario L-M-V,207,23
202505,Lima Norte Satélite,B05EP,10:30 - 13:45,Interdiario L-M-V,303,25
202505,Lima Norte Satélite,B05EP,16:00 - 19:15,Interdiario L-M-V,207,20
202505,Lima Norte Satélite,B05EP,17:45 - 21:00,Interdiario L-M-V,324,16
202505,Lima Norte Satélite,B05EP,07:00 - 10:15,Interdiario L-M-V,106,20
202505,La Molina,B05EP,16:00 - 19:15,Interdiario L-M-V,S304,25
202505,San Miguel,B05EP,16:00 - 19:15,Interdiario L-M-V,501,19
202505,San Miguel,B05EP,10:30 - 13:45,Interdiario L-M-V,404,18
202505,Lima Centro,B06EP,16:00 - 19:15,Interdiario L-M-V,510,21
202505,Lima Centro,B06EP,16:00 - 19:15,Interdiario L-M-V,509,17
202505,Lima Centro,B06EP,10:30 - 13:45,Interdiario L-M-V,203,23
202505,Miraflores,B06EP,10:30 - 13:45,Interdiario L-M-V,302,15
202505,Surco,B06EP,16:00 - 19:15,Interdiario L-M-V,210,23
202505,Surco,B06EP,10:30 - 13:45,Interdiario L-M-V,208,24
202505,Lima Norte Satélite,B06EP,16:00 - 19:15,Interdiario L-M-V,304,18
202505,Lima Norte Satélite,B06EP,10:30 - 13:45,Interdiario L-M-V,304,18
202505,Lima Norte Satélite,B06EP,07:00 - 10:15,Interdiario L-M-V,201,20
202505,San Miguel,B06EP,10:30 - 13:45,Interdiario L-M-V,405,20
202505,San Miguel,B06EP,16:00 - 19:15,Interdiario L-M-V,502,18
202505,La Molina,B06EP,16:00 - 19:15,Interdiario L-M-V,401,20
202505,Lima Centro,B07EP,16:00 - 19:15,Interdiario L-M-V,511,24
202505,Lima Centro,B07EP,10:30 - 13:45,Interdiario L-M-V,204,18
202505,Surco,B07EP,16:00 - 19:15,Interdiario L-M-V,305,25
202505,Miraflores,B07EP,16:00 - 19:15,Interdiario L-M-V,504,24
202505,Miraflores,B07EP,10:30 - 13:45,Interdiario L-M-V,303,15
202505,Surco,B07EP,10:30 - 13:45,Interdiario L-M-V,209,23
202505,Lima Norte Satélite,B07EP,17:45 - 21:00,Interdiario L-M-V,325,16
202505,Lima Norte Satélite,B07EP,10:30 - 13:45,Interdiario L-M-V,305,20
202505,Lima Norte Satélite,B07EP,07:00 - 10:15,Interdiario L-M-V,202,20
202505,Lima Norte Satélite,B07EP,16:00 - 19:15,Interdiario L-M-V,320,14
202505,La Molina,B07EP,16:00 - 19:15,Interdiario L-M-V,403,22
202505,La Molina,B07EP,10:30 - 13:45,Interdiario L-M-V,202,20
202505,San Miguel,B07EP,16:00 - 19:15,Interdiario L-M-V,503,19
202505,San Miguel,B07EP,17:45 - 21:00,Interdiario L-M-V,504,20
202505,San Miguel,B07EP,10:30 - 13:45,Interdiario L-M-V,406,19
202505,Lima Centro,B08EP,10:30 - 13:45,Interdiario L-M-V,305,20
202505,Lima Centro,B08EP,16:00 - 19:15,Interdiario L-M-V,512,24
202505,Surco,B08EP,07:00 - 10:15,Interdiario L-M-V,202,22
202505,Miraflores,B08EP,16:00 - 19:15,Interdiario L-M-V,410,19
202505,Surco,B08EP,10:30 - 13:45,Interdiario L-M-V,210,23
202505,Lima Norte Satélite,B08EP,07:00 - 10:15,Interdiario L-M-V,203,20
202505,Lima Norte Satélite,B08EP,16:00 - 19:15,Interdiario L-M-V,307,17
202505,Lima Norte Satélite,B08EP,10:30 - 13:45,Interdiario L-M-V,306,20
202505,San Miguel,B08EP,10:30 - 13:45,Interdiario L-M-V,407,19
202505,San Miguel,B08EP,16:00 - 19:15,Interdiario L-M-V,505,19
202505,La Molina,B08EP,10:30 - 13:45,Interdiario L-M-V,306,22
202505,La Molina,B08EP,16:00 - 19:15,Interdiario L-M-V,404,23
202505,Surco,B08EP,16:00 - 19:15,Interdiario L-M-V,301,22
202505,Lima Centro,B09EP,10:30 - 13:45,Interdiario L-M-V,306,20
202505,Lima Centro,B09EP,16:00 - 19:15,Interdiario L-M-V,513,25
202505,Miraflores,B09EP,16:00 - 19:15,Interdiario L-M-V,402,15
202505,Surco,B09EP,07:00 - 10:15,Interdiario L-M-V,203,22
202505,Surco,B09EP,10:30 - 13:45,Interdiario L-M-V,211,25
202505,Surco,B09EP,16:00 - 19:15,Interdiario L-M-V,302,22
202505,Lima Norte Satélite,B09EP,07:00 - 10:15,Interdiario L-M-V,204,20
202505,Lima Norte Satélite,B09EP,17:45 - 21:00,Interdiario L-M-V,309,20
202505,Lima Norte Satélite,B09EP,16:00 - 19:15,Interdiario L-M-V,317,14
202505,Lima Norte Satélite,B09EP,10:30 - 13:45,Interdiario L-M-V,307,17
202505,La Molina,B09EP,16:00 - 19:15,Interdiario L-M-V,405,21
202505,San Miguel,B09EP,10:30 - 13:45,Interdiario L-M-V,408,20
202505,San Miguel,B09EP,16:00 - 19:15,Interdiario L-M-V,506,18
202505,Lima Centro,B10EP,10:30 - 13:45,Interdiario L-M-V,101,24
202505,Lima Centro,B10EP,16:00 - 19:15,Interdiario L-M-V,601,25
202505,Miraflores,B10EP,16:00 - 19:15,Interdiario L-M-V,505,22
202505,Miraflores,B10EP,17:45 - 21:00,Interdiario L-M-V,604,23
202505,Surco,B10EP,10:30 - 13:45,Interdiario L-M-V,301,22
202505,Surco,B10EP,16:00 - 19:15,Interdiario L-M-V,311,24
202505,Lima Norte Satélite,B10EP,10:30 - 13:45,Interdiario L-M-V,308,23
202505,Lima Norte Satélite,B10EP,16:00 - 19:15,Interdiario L-M-V,310,24
202505,Lima Norte Satélite,B10EP,07:00 - 10:15,Interdiario L-M-V,205,20
202505,San Miguel,B10EP,16:00 - 19:15,Interdiario L-M-V,507,20
202505,La Molina,B10EP,16:00 - 19:15,Interdiario L-M-V,406,22
202505,Lima Centro,B11EP,16:00 - 19:15,Interdiario L-M-V,508,27
202505,Lima Centro,B11EP,07:00 - 10:15,Interdiario L-M-V,203,23
202505,Surco,B11EP,07:00 - 10:15,Interdiario L-M-V,204,23
202505,Miraflores,B11EP,16:00 - 19:15,Interdiario L-M-V,405,15
202505,Surco,B11EP,10:30 - 13:45,Interdiario L-M-V,302,22
202505,Surco,B11EP,16:00 - 19:15,Interdiario L-M-V,408,29
202505,Lima Norte Satélite,B11EP,10:30 - 13:45,Interdiario L-M-V,309,20
202505,Lima Norte Satélite,B11EP,16:00 - 19:15,Interdiario L-M-V,204,20
202505,Lima Norte Satélite,B11EP,07:00 - 10:15,Interdiario L-M-V,206,20
202505,La Molina,B11EP,16:00 - 19:15,Interdiario L-M-V,S305,24
202505,San Miguel,B11EP,10:30 - 13:45,Interdiario L-M-V,501,19
202505,San Miguel,B11EP,16:00 - 19:15,Interdiario L-M-V,508,19
202505,Lima Centro,B12EP,10:30 - 13:45,Interdiario L-M-V,308,19
202505,Lima Centro,B12EP,16:00 - 19:15,Interdiario L-M-V,608,18
202505,Surco,B12EP,10:30 - 13:45,Interdiario L-M-V,303,22
202505,Miraflores,B12EP,16:00 - 19:15,Interdiario L-M-V,809,17
202505,Miraflores,B12EP,10:30 - 13:45,Interdiario L-M-V,304,15
202505,Surco,B12EP,16:00 - 19:15,Interdiario L-M-V,303,22
202505,Lima Norte Satélite,B12EP,16:00 - 19:15,Interdiario L-M-V,321,15
202505,Lima Norte Satélite,B12EP,07:00 - 10:15,Interdiario L-M-V,207,20
202505,San Miguel,B12EP,10:30 - 13:45,Interdiario L-M-V,502,18
202505,La Molina,B12EP,10:30 - 13:45,Interdiario L-M-V,304,23
202505,San Miguel,B12EP,16:00 - 19:15,Interdiario L-M-V,509,19
202505,La Molina,B12EP,16:00 - 19:15,Interdiario L-M-V,408,22
202505,San Miguel,B12EP,17:45 - 21:00,Interdiario L-M-V,510,20
202505,Lima Centro,I01EP,10:30 - 13:45,Interdiario L-M-V,309,13
202505,Lima Centro,I01EP,16:00 - 19:15,Interdiario L-M-V,609,22
202505,Miraflores,I01EP,16:00 - 19:15,Interdiario L-M-V,602,22
202505,Surco,I01EP,10:30 - 13:45,Interdiario L-M-V,304,23
202505,Surco,I01EP,07:00 - 10:15,Interdiario L-M-V,205,25
202505,Surco,I01EP,16:00 - 19:15,Interdiario L-M-V,103,22
202505,Lima Norte Satélite,I01EP,10:30 - 13:45,Interdiario L-M-V,311,23
202505,Lima Norte Satélite,I01EP,16:00 - 19:15,Interdiario L-M-V,315,25
202505,Lima Norte Satélite,I01EP,07:00 - 10:15,Interdiario L-M-V,303,25
202505,San Miguel,I01EP,16:00 - 19:15,Interdiario L-M-V,511,19
202505,La Molina,I01EP,10:30 - 13:45,Interdiario L-M-V,309,20
202505,La Molina,I01EP,16:00 - 19:15,Interdiario L-M-V,409,20
202505,San Miguel,I01EP,10:30 - 13:45,Interdiario L-M-V,503,19
202505,Lima Centro,I02EP,10:30 - 13:45,Interdiario L-M-V,401,26
202505,Lima Centro,I02EP,16:00 - 19:15,Interdiario L-M-V,310,16
202505,Surco,I02EP,10:30 - 13:45,Interdiario L-M-V,305,25
202505,Miraflores,I02EP,16:00 - 19:15,Interdiario L-M-V,408,22
202505,Surco,I02EP,16:00 - 19:15,Interdiario L-M-V,307,23
202505,Lima Norte Satélite,I02EP,10:30 - 13:45,Interdiario L-M-V,312,21
202505,San Miguel,I02EP,16:00 - 19:15,Interdiario L-M-V,601,19
202505,La Molina,I02EP,16:00 - 19:15,Interdiario L-M-V,410,19
202505,San Miguel,I02EP,10:30 - 13:45,Interdiario L-M-V,504,20
202505,Surco,I03EP,10:30 - 13:45,Interdiario L-M-V,306,25
202505,Surco,AG1AM,16:00 - 19:15,Interdiario L-M-V,404,24
202505,San Miguel,AG1AM,16:00 - 19:15,Interdiario L-M-V,702,18
202505,La Molina,AG1AM,16:00 - 19:15,Interdiario L-M-V,509,20
202505,Lima Norte Satélite,AG2AM,10:30 - 13:45,Interdiario L-M-V,323,16
202505,La Molina,AG3AM,16:00 - 19:15,Interdiario L-M-V,510,19
202505,Lima Norte Satélite,AL2EP,10:30 - 13:45,Interdiario L-M-V,324,16
202505,Lima Centro,AP1AM,16:00 - 19:15,Interdiario L-M-V,803,20
202505,Miraflores,AP1AM,16:00 - 19:15,Interdiario L-M-V,404,15
202505,Surco,AP1AM,16:00 - 19:15,Interdiario L-M-V,204,23
202505,Lima Norte Satélite,AP1AM,10:30 - 13:45,Interdiario L-M-V,321,15
202505,Lima Norte Satélite,AP1AM,07:00 - 10:15,Interdiario L-M-V,308,23
202505,Lima Norte Satélite,AP1AM,16:00 - 19:15,Interdiario L-M-V,312,21
202505,La Molina,AP1AM,16:00 - 19:15,Interdiario L-M-V,505,21
202505,San Miguel,AP1AM,16:00 - 19:15,Interdiario L-M-V,611,19
202505,Lima Centro,AP2AM,16:00 - 19:15,Interdiario L-M-V,804,21
202505,Miraflores,AP2AM,16:00 - 19:15,Interdiario L-M-V,403,15
202505,Lima Norte Satélite,AP2AM,10:30 - 13:45,Interdiario L-M-V,322,15
202505,Lima Norte Satélite,AP2AM,16:00 - 19:15,Interdiario L-M-V,322,15
202505,La Molina,AP2AM,16:00 - 19:15,Interdiario L-M-V,506,22
202505,Lima Centro,AP3AM,07:00 - 10:15,Interdiario L-M-V,204,18
202505,La Molina,AP3AM,16:00 - 19:15,Interdiario L-M-V,507,21
202505,San Miguel,AP3AM,16:00 - 19:15,Interdiario L-M-V,701,19
202505,La Molina,AW1AM,16:00 - 19:15,Interdiario L-M-V,511,19
202505,Lima Centro,I03EP,16:00 - 19:15,Interdiario L-M-V,305,20
202505,Lima Centro,I03EP,10:30 - 13:45,Interdiario L-M-V,407,20
202505,Miraflores,I03EP,16:00 - 19:15,Interdiario L-M-V,807,18
202505,Surco,I03EP,16:00 - 19:15,Interdiario L-M-V,308,24
202505,Lima Norte Satélite,I03EP,07:00 - 10:15,Interdiario L-M-V,304,18
202505,La Molina,I03EP,16:00 - 19:15,Interdiario L-M-V,411,19
202505,San Miguel,I03EP,16:00 - 19:15,Interdiario L-M-V,602,18
202505,San Miguel,I03EP,10:30 - 13:45,Interdiario L-M-V,505,19
202505,Lima Centro,I04EP,16:00 - 19:15,Interdiario L-M-V,605,26
202505,Surco,I04EP,07:00 - 10:15,Interdiario L-M-V,207,23
202505,Surco,I04EP,16:00 - 19:15,Interdiario L-M-V,309,23
202505,Miraflores,I04EP,16:00 - 19:15,Interdiario L-M-V,401,15
202505,Lima Norte Satélite,I04EP,07:00 - 10:15,Interdiario L-M-V,305,20
202505,San Miguel,I04EP,10:30 - 13:45,Interdiario L-M-V,506,18
202505,San Miguel,I04EP,16:00 - 19:15,Interdiario L-M-V,603,19
